StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12
2018-03-01 16:39:07,2018-03-01 16:41:59,IP Address,65.112.8.2,100,172,True,2018-03-01 16:42:05,R_2cbjOcCvgS7S37y,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,9,7,10,6,4,3,11,5,2,8,1
2018-03-01 16:38:56,2018-03-01 16:42:03,IP Address,65.112.8.202,100,187,True,2018-03-01 16:42:09,R_1JIK9k9U5tCsEPk,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,3,7,11,4,6,8,1,9,10,2,5
2018-03-01 16:50:55,2018-03-01 16:55:55,IP Address,65.112.8.131,100,299,True,2018-03-01 16:55:55,R_29tslEx6E8ltzQu,,,,,42.380004882812,-71.13289642334,anonymous,EN,5,12,3,10,4,6,8,11,7,1,9,2
2018-03-01 16:56:02,2018-03-01 16:57:10,IP Address,65.112.8.13,100,68,True,2018-03-01 16:57:11,R_8H6yoKL9tKLTQXf,,,,,42.380004882812,-71.13289642334,anonymous,EN,10,8,4,11,7,5,3,12,6,2,9,1
2018-03-01 17:04:01,2018-03-01 17:05:43,IP Address,65.112.8.137,100,101,True,2018-03-01 17:05:44,R_2cClCms22Rfr7iO,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,10,8,12,4,11,2,7,6,3,5,1
2018-03-01 17:14:26,2018-03-01 17:15:13,IP Address,107.77.224.195,100,47,True,2018-03-01 17:15:14,R_3lsQl6Sa6exeE3X,,,,,40.71110534668,-73.946899414062,anonymous,EN,3,12,7,9,5,6,8,11,4,2,10,1
2018-03-01 17:15:31,2018-03-01 17:16:38,IP Address,65.112.8.195,100,67,True,2018-03-01 17:16:39,R_3IS1MFDZJQPNa0D,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,9,6,11,7,4,1,8,5,3,10,2
2018-03-01 17:37:31,2018-03-01 17:38:33,IP Address,107.77.224.117,100,61,True,2018-03-01 17:38:33,R_1DMBelqi54kGsqt,,,,,40.71110534668,-73.946899414062,anonymous,EN,8,9,5,11,7,6,3,12,4,2,10,1
2018-03-01 17:34:44,2018-03-01 17:40:16,IP Address,65.112.8.130,100,332,True,2018-03-01 17:40:17,R_1n6ethYCVcOjjxV,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,7,9,8,3,4,1,5,10,11,6,2
2018-03-01 17:43:19,2018-03-01 17:44:02,IP Address,65.112.8.5,100,43,True,2018-03-01 17:44:02,R_RRD4TAts9VNXLdD,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,10,4,9,5,6,7,12,2,1,11,3
2018-03-01 18:05:03,2018-03-01 18:06:13,IP Address,65.112.8.203,100,70,True,2018-03-01 18:06:14,R_3IPFRnmSu5TEJAu,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,8,10,12,2,5,11,4,6,1,9,3
2018-03-01 18:22:37,2018-03-01 18:24:45,IP Address,65.112.8.138,100,128,True,2018-03-01 18:24:46,R_1N97Xx2nkotjU8X,,,,,42.380004882812,-71.13289642334,anonymous,EN,6,11,3,8,7,4,5,12,1,9,10,2
2018-03-01 18:24:04,2018-03-01 18:24:52,IP Address,209.6.246.248,100,47,True,2018-03-01 18:24:52,R_1MJS6hgCkRMs3O2,,,,,42.283004760742,-71.120903015137,anonymous,EN,6,2,10,11,7,9,8,3,4,12,1,5
2018-03-01 18:25:32,2018-03-01 18:26:30,IP Address,172.56.23.248,100,58,True,2018-03-01 18:26:31,R_2VIsSa5Jgx4i2bG,,,,,42.406295776367,-71.051200866699,anonymous,EN,6,11,3,10,5,9,4,7,1,12,8,2
2018-03-01 18:28:28,2018-03-01 18:29:13,IP Address,65.112.8.137,100,44,True,2018-03-01 18:29:13,R_2vYYfWjuJ2Yiqeq,,,,,42.380004882812,-71.13289642334,anonymous,EN,4,11,7,8,12,6,1,10,5,3,9,2
2018-03-01 18:25:38,2018-03-01 18:30:34,IP Address,65.112.8.9,100,296,True,2018-03-01 18:30:34,R_2CJoaNglBVZr8j6,,,,,42.380004882812,-71.13289642334,anonymous,EN,1,11,4,9,7,6,8,10,5,2,12,3
2018-03-01 18:29:55,2018-03-01 18:30:40,IP Address,65.112.8.133,100,44,True,2018-03-01 18:30:41,R_2q9jRritvPKoUrv,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,8,5,11,10,3,1,12,4,6,7,2
2018-03-01 18:31:33,2018-03-01 18:33:08,IP Address,65.112.8.130,100,94,True,2018-03-01 18:33:08,R_3L29nRtD8JULtQG,,,,,42.380004882812,-71.13289642334,anonymous,EN,4,8,10,3,5,11,7,12,9,1,6,2
2018-03-01 18:33:27,2018-03-01 18:33:57,IP Address,65.112.8.194,100,30,True,2018-03-01 18:33:57,R_XAMgGfL943pkLDz,,,,,42.380004882812,-71.13289642334,anonymous,EN,5,4,6,12,1,7,11,9,8,2,10,3
2018-03-01 18:34:01,2018-03-01 18:34:52,IP Address,65.112.8.138,100,50,True,2018-03-01 18:34:52,R_2AZ38WBLiwVSKrt,,,,,42.380004882812,-71.13289642334,anonymous,EN,6,12,4,7,10,3,5,9,8,1,11,2
2018-03-01 18:35:28,2018-03-01 18:36:49,IP Address,65.112.8.3,100,81,True,2018-03-01 18:36:50,R_2UbGTI6aewKz4XO,,,,,42.380004882812,-71.13289642334,anonymous,EN,6,11,9,4,2,8,7,10,5,1,12,3
2018-03-01 18:23:22,2018-03-01 18:38:17,IP Address,65.112.8.129,100,894,True,2018-03-01 18:38:17,R_12PieD26SRUvqVB,,,,,42.380004882812,-71.13289642334,anonymous,EN,5,10,7,11,2,8,4,12,9,1,6,3
2018-03-01 18:36:53,2018-03-01 18:38:19,IP Address,65.112.8.1,100,85,True,2018-03-01 18:38:19,R_2Cv74dENICeWP0v,,,,,42.380004882812,-71.13289642334,anonymous,EN,5,11,9,12,3,6,7,10,4,2,8,1
2018-03-01 18:37:24,2018-03-01 18:38:36,IP Address,65.112.8.135,100,71,True,2018-03-01 18:38:36,R_s7qyuoSirVuY3vP,,,,,42.380004882812,-71.13289642334,anonymous,EN,4,11,6,12,3,10,9,7,5,1,8,2
2018-03-01 18:37:31,2018-03-01 18:38:50,IP Address,65.112.8.134,100,79,True,2018-03-01 18:38:51,R_1rJQjEPHmXn8xDL,,,,,42.380004882812,-71.13289642334,anonymous,EN,6,8,1,10,2,12,9,11,4,5,7,3
2018-03-01 18:39:17,2018-03-01 18:40:04,IP Address,65.112.8.129,100,47,True,2018-03-01 18:40:05,R_3qUKEOEwk3QdYBa,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,9,4,12,5,6,10,11,2,3,8,1
2018-03-01 17:56:11,2018-03-01 18:40:12,IP Address,65.112.8.134,100,2641,True,2018-03-01 18:40:13,R_27riH4CHm0r0Noc,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,12,5,8,4,9,1,10,2,6,11,3
2018-03-01 18:40:03,2018-03-01 18:41:10,IP Address,65.112.8.140,100,67,True,2018-03-01 18:41:12,R_XnpwccBIuzDF8ZP,,,,,42.380004882812,-71.13289642334,anonymous,EN,1,11,3,12,8,7,6,10,2,5,9,4
2018-03-01 18:40:43,2018-03-01 18:41:29,IP Address,65.112.8.129,100,46,True,2018-03-01 18:41:30,R_2YaEPVHBtFXeEk8,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,11,7,8,5,3,4,12,2,6,10,1
2018-03-01 18:38:38,2018-03-01 18:43:01,IP Address,65.112.8.131,100,263,True,2018-03-01 18:43:02,R_1nTRZDmIcC3UL7p,,,,,42.380004882812,-71.13289642334,anonymous,EN,2,11,5,9,3,7,8,12,6,1,10,4
2018-03-01 18:42:17,2018-03-01 18:43:07,IP Address,172.58.225.121,100,49,True,2018-03-01 18:43:07,R_2zUDZcux94fizgi,,,,,40.792098999023,-73.943901062012,anonymous,EN,8,10,3,9,6,4,7,11,2,5,12,1
2018-03-01 18:44:53,2018-03-01 18:45:40,IP Address,65.112.8.133,100,47,True,2018-03-01 18:45:40,R_238hkNV8r6UjqaV,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,10,5,9,7,6,3,12,2,4,11,1
2018-03-01 18:46:45,2018-03-01 18:48:54,IP Address,65.112.8.131,100,128,True,2018-03-01 18:48:54,R_V2ych2T6U8CYnap,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,12,8,3,5,2,7,10,4,6,11,1
2018-03-01 18:48:07,2018-03-01 18:49:24,IP Address,65.112.8.200,100,77,True,2018-03-01 18:49:24,R_O6F85fD4lIAuKzv,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,11,4,12,5,6,8,9,2,3,10,1
2018-03-01 18:50:12,2018-03-01 18:51:28,IP Address,107.77.223.140,100,76,True,2018-03-01 18:51:29,R_2bUeZD9PNPoPoCW,,,,,40.790405273438,-74.024597167969,anonymous,EN,9,10,5,8,4,7,6,12,3,2,11,1
2018-03-01 18:50:31,2018-03-01 18:52:00,IP Address,107.77.226.186,100,89,True,2018-03-01 18:52:01,R_82exwfg82neGfcd,,,,,40.680892944336,-73.946296691895,anonymous,EN,3,12,8,11,5,1,2,10,4,7,9,6
2018-03-01 18:51:33,2018-03-01 18:52:28,IP Address,65.112.8.202,100,54,True,2018-03-01 18:52:28,R_2waWT8SsokRIndA,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,12,9,4,7,5,3,11,6,1,10,2
2018-03-01 18:52:10,2018-03-01 18:52:50,IP Address,65.112.8.204,100,40,True,2018-03-01 18:52:50,R_2owjWNPdSAXi8j7,,,,,42.380004882812,-71.13289642334,anonymous,EN,10,2,12,1,6,4,5,3,7,8,9,11
2018-03-01 18:49:36,2018-03-01 18:53:08,IP Address,107.77.224.6,100,211,True,2018-03-01 18:53:08,R_3iRpkFunMBKonzL,,,,,40.71110534668,-73.946899414062,anonymous,EN,12,6,11,10,2,9,8,3,7,5,1,4
2018-03-01 18:52:38,2018-03-01 18:53:32,IP Address,67.134.204.38,100,54,True,2018-03-01 18:53:33,R_3e1PXCmb9zmVc3Q,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,11,5,2,4,7,8,10,6,1,12,3
2018-03-01 18:52:25,2018-03-01 18:53:36,IP Address,65.112.8.141,100,71,True,2018-03-01 18:53:37,R_3NKgE2XFPrPX2YR,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,9,10,5,7,8,1,4,11,6,3,2
2018-03-01 18:52:39,2018-03-01 18:55:00,IP Address,65.112.8.143,100,140,True,2018-03-01 18:55:00,R_1qUFCFaHv18BeQo,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,12,8,6,4,5,3,11,2,9,10,1
2018-03-01 18:55:33,2018-03-01 18:56:44,IP Address,65.112.8.68,100,71,True,2018-03-01 18:56:45,R_vrE5vzJtmWEJI7D,,,,,42.380004882812,-71.13289642334,anonymous,EN,1,10,2,12,6,4,5,11,7,8,9,3
2018-03-01 18:55:45,2018-03-01 18:57:33,IP Address,65.112.8.143,100,108,True,2018-03-01 18:57:34,R_22LE4u3nOdvMWVZ,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,11,3,9,5,7,6,12,2,4,10,1
2018-03-01 18:56:49,2018-03-01 18:58:31,IP Address,65.112.8.200,100,101,True,2018-03-01 18:58:31,R_Ti7uvGHlLqf0rFn,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,3,8,11,4,9,10,1,7,5,2,6
2018-03-01 18:57:36,2018-03-01 18:59:13,IP Address,65.112.8.139,100,96,True,2018-03-01 18:59:13,R_RfT6OMWhUvsgx45,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,10,7,8,3,6,4,11,5,1,12,2
2018-03-01 18:59:35,2018-03-01 19:01:04,IP Address,174.192.22.16,100,89,True,2018-03-01 19:01:05,R_110jihRv0wzZGSm,,,,,42.313705444336,-71.194702148438,anonymous,EN,6,11,4,3,7,8,5,12,10,9,2,1
2018-03-01 19:00:28,2018-03-01 19:01:31,IP Address,65.112.8.67,100,63,True,2018-03-01 19:01:32,R_2YMbq3RbJJlRjD3,,,,,42.380004882812,-71.13289642334,anonymous,EN,1,9,5,12,4,3,8,10,6,7,11,2
2018-03-01 19:03:57,2018-03-01 19:05:21,IP Address,65.112.8.2,100,84,True,2018-03-01 19:05:22,R_tKbk7Lv5YKKJwQh,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,11,7,9,5,4,3,12,6,1,10,2
2018-03-01 19:06:14,2018-03-01 19:06:57,IP Address,65.112.8.133,100,42,True,2018-03-01 19:06:58,R_31HNkdOI2OzKPTW,,,,,42.380004882812,-71.13289642334,anonymous,EN,5,10,2,3,4,8,7,11,1,6,12,9
2018-03-01 19:04:25,2018-03-01 19:07:07,IP Address,65.112.8.139,100,162,True,2018-03-01 19:07:07,R_suGdtjIeOElIoHD,,,,,42.380004882812,-71.13289642334,anonymous,EN,3,6,9,11,4,8,12,5,10,1,7,2
2018-03-01 18:59:18,2018-03-01 19:09:31,IP Address,99.203.55.16,100,612,True,2018-03-01 19:09:32,R_Xth7kffuYH1BJxD,,,,,40.702102661133,-73.94229888916,anonymous,EN,6,12,4,9,7,5,8,11,3,2,10,1
2018-03-01 19:10:26,2018-03-01 19:12:16,IP Address,66.87.124.228,100,109,True,2018-03-01 19:12:16,R_3s6Sb4FwMlYZFaF,,,,,42.406295776367,-71.051200866699,anonymous,EN,1,9,6,12,3,8,4,10,7,5,11,2
2018-03-01 19:11:34,2018-03-01 19:12:35,IP Address,65.112.8.132,100,61,True,2018-03-01 19:12:36,R_1FFjb5O2JR3ZVzr,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,12,8,5,1,6,2,11,9,3,10,4
2018-03-01 19:11:32,2018-03-01 19:12:37,IP Address,166.181.67.230,100,64,True,2018-03-01 19:12:37,R_1GJGqlj6EabQNKQ,,,,,35.46760559082,-97.516403198242,anonymous,EN,6,11,7,9,2,3,8,10,5,4,12,1
2018-03-01 19:17:18,2018-03-01 19:18:27,IP Address,174.192.11.253,100,69,True,2018-03-01 19:18:28,R_2eWPoglHvJfduBR,,,,,42.761795043945,-71.411903381348,anonymous,EN,8,10,5,9,7,4,1,12,6,3,11,2
2018-03-01 19:17:20,2018-03-01 19:18:35,IP Address,65.112.8.14,100,75,True,2018-03-01 19:18:36,R_1g5dYws5qyVBy6a,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,11,7,5,3,9,6,12,4,1,10,2
2018-03-01 19:17:15,2018-03-01 19:19:15,IP Address,174.192.20.115,100,120,True,2018-03-01 19:19:16,R_1M6r26WSVE7EgDc,,,,,42.337005615234,-71.209197998047,anonymous,EN,11,8,5,10,6,7,2,12,4,1,9,3
2018-03-01 19:20:07,2018-03-01 19:21:00,IP Address,65.112.8.140,100,52,True,2018-03-01 19:21:00,R_1d9QPiaJzbIdls4,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,11,5,3,9,7,2,10,6,8,4,1
2018-03-01 19:20:50,2018-03-01 19:22:34,IP Address,65.112.8.12,100,104,True,2018-03-01 19:22:34,R_2qfxWvGpOq7eUYM,,,,,42.380004882812,-71.13289642334,anonymous,EN,11,9,8,7,4,5,1,12,6,2,10,3
2018-03-01 19:22:04,2018-03-01 19:22:47,IP Address,65.112.8.129,100,43,True,2018-03-01 19:22:48,R_tPWpZCBmaf0xxCh,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,10,4,11,5,6,7,9,1,2,8,3
2018-03-01 19:22:35,2018-03-01 19:23:26,IP Address,65.112.8.10,100,50,True,2018-03-01 19:23:26,R_24oSe8RMVnDQy3n,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,10,7,12,4,6,3,11,5,1,9,2
2018-03-01 19:23:50,2018-03-01 19:26:56,IP Address,67.134.204.35,100,185,True,2018-03-01 19:26:56,R_1dLwMMO1HvRxhCU,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,10,7,6,8,5,1,11,3,4,9,2
2018-03-01 19:31:49,2018-03-01 19:33:08,IP Address,174.192.33.222,100,79,True,2018-03-01 19:33:08,R_32Kfm80YyLCvFEJ,,,,,42.349197387695,-71.059196472168,anonymous,EN,8,4,6,12,3,9,5,10,2,1,11,7
2018-03-01 19:33:16,2018-03-01 19:35:55,IP Address,66.87.125.150,100,159,True,2018-03-01 19:35:56,R_3prpFteT7fZINE3,,,,,41.505905151367,-72.908096313477,anonymous,EN,5,12,9,7,4,8,2,11,6,3,10,1
2018-03-01 19:35:32,2018-03-01 19:36:10,IP Address,65.112.8.139,100,37,True,2018-03-01 19:36:10,R_BFCgft5YnezemWZ,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,12,7,1,6,2,5,11,4,3,10,8
2018-03-01 19:33:03,2018-03-01 19:36:54,IP Address,65.112.8.202,100,230,True,2018-03-01 19:36:54,R_bQvrdlDfSpdnOnf,,,,,42.380004882812,-71.13289642334,anonymous,EN,6,12,11,10,5,9,3,4,7,2,8,1
2018-03-01 19:35:41,2018-03-01 19:37:11,IP Address,65.112.8.140,100,90,True,2018-03-01 19:37:11,R_3s18AcF7tKdSEAq,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,11,5,4,6,9,3,12,2,8,10,1
2018-03-01 19:33:18,2018-03-01 19:37:19,IP Address,65.112.8.14,100,241,True,2018-03-01 19:37:20,R_3mh3buFo33VRPk0,,,,,42.380004882812,-71.13289642334,anonymous,EN,10,8,12,11,9,7,5,4,6,1,2,3
2018-03-01 19:36:43,2018-03-01 19:37:20,IP Address,65.112.8.205,100,37,True,2018-03-01 19:37:20,R_2E7czIga3ni1hLB,,,,,42.380004882812,-71.13289642334,anonymous,EN,4,9,7,12,3,5,6,11,2,8,10,1
2018-03-01 19:36:10,2018-03-01 19:39:28,IP Address,174.192.13.89,100,198,True,2018-03-01 19:39:30,R_3mlBQyyU2PftUQa,,,,,42.334594726562,-71.036201477051,anonymous,EN,12,10,4,7,11,6,3,9,1,5,8,2
2018-03-01 19:42:50,2018-03-01 19:43:59,IP Address,172.56.22.197,100,69,True,2018-03-01 19:44:00,R_3PhrePVVhKfdCnW,,,,,41.820693969727,-71.449203491211,anonymous,EN,7,10,9,8,6,3,4,12,5,1,11,2
2018-03-01 19:46:46,2018-03-01 19:47:56,IP Address,172.58.217.90,100,70,True,2018-03-01 19:47:57,R_pAxPut5obrlCruN,,,,,42.633895874023,-71.295700073242,anonymous,EN,6,11,3,12,4,9,8,7,5,2,10,1
2018-03-01 19:50:04,2018-03-01 19:50:37,IP Address,65.112.8.203,100,32,True,2018-03-01 19:50:38,R_XtFiB3iajbkfurT,,,,,42.380004882812,-71.13289642334,anonymous,EN,2,9,12,7,3,5,4,8,11,1,6,10
2018-03-01 19:49:55,2018-03-01 19:50:48,IP Address,65.112.8.138,100,52,True,2018-03-01 19:50:48,R_uqw9zsUNOP8xIQ1,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,5,8,11,7,10,3,4,9,2,6,1
2018-03-01 19:49:53,2018-03-01 19:51:01,IP Address,100.15.178.221,100,68,True,2018-03-01 19:51:02,R_2q8KAmqPltYgegG,,,,,38.937606811523,-77.092796325684,anonymous,EN,9,1,8,12,4,6,3,11,7,5,10,2
2018-03-01 19:50:38,2018-03-01 19:51:23,IP Address,65.112.8.131,100,44,True,2018-03-01 19:51:23,R_12mrFjbOuEfExq5,,,,,42.380004882812,-71.13289642334,anonymous,EN,12,9,11,1,7,2,3,6,10,4,5,8
2018-03-01 19:50:54,2018-03-01 19:51:57,IP Address,65.112.8.135,100,62,True,2018-03-01 19:51:57,R_2EfS6dadgzh9gKs,,,,,42.380004882812,-71.13289642334,anonymous,EN,11,7,10,1,9,6,3,8,12,2,5,4
2018-03-01 19:50:48,2018-03-01 19:52:14,IP Address,107.77.207.36,100,86,True,2018-03-01 19:52:15,R_3MFIkefaxIzpmN2,,,,,38.57829284668,-90.666603088379,anonymous,EN,12,9,7,8,5,6,4,11,3,2,10,1
2018-03-01 19:54:50,2018-03-01 19:56:31,IP Address,65.112.8.73,100,100,True,2018-03-01 19:56:32,R_1DzMdT0KiR3rJeV,,,,,42.380004882812,-71.13289642334,anonymous,EN,4,11,8,12,5,6,2,10,7,1,9,3
2018-03-01 19:59:37,2018-03-01 20:00:41,IP Address,65.112.8.7,100,63,True,2018-03-01 20:00:42,R_BR1pBoIT9jMMZeF,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,11,1,5,8,7,2,12,6,3,10,4
2018-03-01 20:01:31,2018-03-01 20:01:36,IP Address,65.112.8.132,100,5,True,2018-03-01 20:01:36,R_1F2kO8Vdw3nSoOc,,,,,42.380004882812,-71.13289642334,anonymous,EN,,,,,,,,,,,,
2018-03-01 20:01:51,2018-03-01 20:02:56,IP Address,107.77.225.155,100,64,True,2018-03-01 20:02:56,R_2TvpgOkN5N4cVeJ,,,,,40.919403076172,-73.860702514648,anonymous,EN,6,10,7,9,4,8,5,12,3,2,11,1
2018-03-01 20:03:40,2018-03-01 20:04:59,IP Address,65.112.8.8,100,79,True,2018-03-01 20:05:00,R_5j3TSF50C4Kbx9D,,,,,42.380004882812,-71.13289642334,anonymous,EN,11,3,7,6,9,8,5,2,12,10,1,4
2018-03-01 20:12:00,2018-03-01 20:12:43,IP Address,65.112.8.132,100,43,True,2018-03-01 20:12:43,R_2dgwVDZEIqX68Ql,,,,,42.380004882812,-71.13289642334,anonymous,EN,10,11,2,6,4,7,5,9,8,1,12,3
2018-03-01 20:11:18,2018-03-01 20:12:57,IP Address,65.112.8.132,100,99,True,2018-03-01 20:12:58,R_OvtBo69EhjPG62d,,,,,42.380004882812,-71.13289642334,anonymous,EN,4,11,7,9,5,8,3,12,6,2,10,1
2018-03-01 20:10:32,2018-03-01 20:15:00,IP Address,67.134.204.52,100,267,True,2018-03-01 20:15:00,R_2VjOc7YSDRJORaz,,,,,42.380004882812,-71.13289642334,anonymous,EN,9,10,3,8,5,6,7,12,2,4,11,1
2018-03-01 20:15:20,2018-03-01 20:16:04,IP Address,65.112.8.142,100,44,True,2018-03-01 20:16:04,R_1hGV8OlZ2iYRiGc,,,,,42.380004882812,-71.13289642334,anonymous,EN,7,12,9,5,6,3,4,11,8,1,10,2
2018-03-01 20:22:37,2018-03-01 20:23:45,IP Address,67.134.204.46,100,68,True,2018-03-01 20:23:46,R_VKA2lrWO6brwqtz,,,,,42.380004882812,-71.13289642334,anonymous,EN,8,9,11,1,3,10,6,2,12,4,5,7
2018-03-01 20:22:08,2018-03-01 20:23:51,IP Address,65.112.8.137,100,102,True,2018-03-01 20:23:51,R_1nVkC5mKCx8j5y2,,,,,42.380004882812,-71.13289642334,anonymous,EN,11,2,10,4,12,7,5,1,9,6,3,8
